Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.161,50.576,11.26387,4.166806,46.934361099220006,92.79967000003955
1.0,16.0,3.939,63.024,11.09563,5.208367,57.790113136209996,91.69540672792904
1.0,16.0,4.717,75.472,10.93245,6.249923,68.32697070134999,90.53287404779256
1.0,16.0,5.495,87.92,10.77158,7.291451,78.54044776258,89.33171947518198
1.0,16.0,6.275,100.4,10.61292,8.333014,88.43761094088,88.08526986143427
2.0,18.01,2.82,50.7882,11.30923,4.16678,47.1230733794,92.78350754584726
2.0,18.01,3.511,63.23311000000001,11.15214,5.208314,58.08384689195999,91.85669800514317
2.0,18.01,4.202,75.67802,10.99682,6.249907,68.72910229574,90.81778605695551
2.0,18.01,4.893,88.12293000000001,10.84399,7.291443,79.06833497757,89.7250408918201
2.0,18.01,5.585,100.58585000000001,10.68989,8.332994,89.07878923065999,88.5599607008938
3.0,20.01,2.553,51.085530000000006,11.35433,4.166784,47.311040574719996,92.61143140674079
3.0,20.01,3.175,63.53175,11.20492,5.208361,58.359268336119996,91.85843036925631
3.0,20.01,3.798,75.99798000000001,11.05574,6.249914,69.09742420636,90.92007998944182
3.0,20.01,4.421,88.46421000000001,10.90952,7.29144,79.5461105088,89.91897458735006
3.0,20.01,5.045,100.95045,10.76372,8.332958,89.69362668375999,88.84915984402248
4.0,22.01,2.327,51.21727,11.34803,4.166795,47.284914663849996,92.32220823923258
4.0,22.01,2.892,63.65292,11.20458,5.208355,58.3574302659,91.68068058134646
4.0,22.01,3.457,76.08857,11.0612,6.24989,69.13128326799999,90.85633133596805
4.0,22.01,4.021,88.50221,10.91986,7.291467,79.62179883462,89.96588767062426
4.0,22.01,4.587,100.95987,10.78008,8.332981,89.83020181848,88.97614648125042
5.0,24.01,2.151,51.64551,11.39718,4.166742,47.489108587560004,91.95205660193888
5.0,24.01,2.67,64.1067,11.25745,5.208358,58.6328297671,91.46131335273847
5.0,24.01,3.19,76.59190000000001,11.11861,6.249894,69.49013392734001,90.72778443587377
5.0,24.01,3.709,89.05309000000001,10.98112,7.291479,80.06860587648,89.91109222204418
5.0,24.01,4.229,101.53829,10.8451,8.332983,90.3720339333,89.00291105286489
