Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.164,50.624,11.71799,4.166758,48.82602857642,96.44838135354772
1.0,16.0,3.944,63.104,11.65649,5.208355,60.71113797395,96.20806600841469
1.0,16.0,4.725,75.6,11.59562,6.249889,72.47133788618,95.86155805050265
1.0,16.0,5.504,88.064,11.53519,7.291437,84.10811116803,95.5079387354992
1.0,16.0,6.285,100.56,11.47335,8.333109,95.60867614515,95.0762491499105
2.0,18.0,2.826,50.868,11.72141,4.166773,48.84045470993,96.01410456461822
2.0,18.0,3.52,63.36,11.6602,5.208359,60.73050761179999,95.84991731660352
2.0,18.0,4.213,75.834,11.5983,6.2499,72.48821517,95.58801483503441
2.0,18.0,4.907,88.326,11.53788,7.29147,84.1281058836,95.24727247197882
2.0,18.0,5.601,100.818,11.4769,8.333101,95.6381668669,94.86219411900653
3.0,20.0,2.558,51.16,11.73048,4.166811,48.87869309928,95.54083873979671
3.0,20.0,3.183,63.66,11.66939,5.208356,60.77833742284,95.47335441853598
3.0,20.0,3.808,76.16,11.60812,6.249918,72.54979813416,95.25971393665967
3.0,20.0,4.432,88.64000000000001,11.54628,7.291472,84.18937732415999,94.97899066353787
3.0,20.0,5.057,101.14000000000001,11.48569,8.333091,95.71129996779,94.63248958650384
4.0,22.0,2.334,51.348,11.71253,4.166781,48.80354746593,95.04469008711148
4.0,22.0,2.902,63.844,11.65156,5.20833,60.6851694948,95.05226723701522
4.0,22.0,3.469,76.318,11.59029,6.249924,72.43843163796,94.91657490757095
4.0,22.0,4.036,88.79199999999999,11.52918,7.291472,84.06469315296,94.67597661158665
4.0,22.0,4.604,101.288,11.46718,8.333062,95.55672190516,94.34160207049207
5.0,24.01,2.156,51.76556000000001,11.73108,4.166786,48.880899908880004,94.42745313463237
5.0,24.01,2.676,64.25076000000001,11.67044,5.208355,60.7837945262,94.60400861592919
5.0,24.01,3.197,76.75997000000001,11.60932,6.249874,72.55678722568,94.52425167138547
5.0,24.01,3.718,89.26918,11.54842,7.291461,84.20485404162,94.32690436007141
5.0,24.01,4.239,101.77839,11.48734,8.333092,95.72506105528001,94.05244183493177
