Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.137,50.192,11.688,4.166802,48.701581776,97.03056617787695
1.0,16.0,3.916,62.656,11.62941,5.208343,60.569956167630004,96.67063995089057
1.0,16.0,4.696,75.136,11.57041,6.249905,72.31396331105,96.24409512224501
1.0,16.0,5.475,87.6,11.51138,7.291464,83.93481286032001,95.81599641589042
1.0,16.0,6.254,100.064,11.45262,8.333034,95.43507184907999,95.37403246830029
2.0,18.0,2.796,50.327999999999996,11.68796,4.166788,48.70125147248,96.76770678842793
2.0,18.0,3.489,62.802,11.62953,5.208367,60.57086027751,96.44734288320436
2.0,18.0,4.181,75.258,11.57068,6.249907,72.31567392676,96.09034777267533
2.0,18.0,4.875,87.75,11.51202,7.291439,83.93919159677999,95.65719840088887
2.0,18.0,5.567,100.206,11.45333,8.333027,95.44090812990999,95.24470403958844
3.0,20.0,2.524,50.480000000000004,11.69423,4.166746,48.72688607558,96.52711187713945
3.0,20.0,3.148,62.96,11.63585,5.20837,60.603812064500005,96.25764305034944
3.0,20.0,3.773,75.46000000000001,11.57723,6.249924,72.35680763052,95.88763269350648
3.0,20.0,4.397,87.94,11.51849,7.291459,83.98659757691,95.50443208654765
3.0,20.0,5.021,100.42,11.45982,8.332995,95.49462276090001,95.09522282503487
4.0,22.0,2.298,50.556,11.67246,4.166764,48.63638611943999,96.20299493520056
4.0,22.0,2.864,63.007999999999996,11.61367,5.20835,60.48805814450001,96.00060015315518
4.0,22.0,3.431,75.482,11.55563,6.249885,72.22135860255,95.68023979564664
4.0,22.0,3.997,87.934,11.4968,7.291389,83.8276410552,95.33018065276231
4.0,22.0,4.564,100.408,11.43934,8.333006,95.32408885603999,94.93674692857142
5.0,24.0,2.116,50.784000000000006,11.68718,4.16676,48.697674136799996,95.89176539224951
5.0,24.0,2.636,63.264,11.62854,5.208332,60.56529699528,95.73422008611531
5.0,24.0,3.156,75.744,11.57008,6.249927,72.31215538416,95.46915317934092
5.0,24.0,3.676,88.224,11.51164,7.291428,83.93629422192,95.13997803536452
5.0,24.0,4.196,100.704,11.45344,8.332982,95.44130935807999,94.77409969621861
