Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.134,50.144,11.70501,4.166799,48.77242396299,97.2647255164925
1.0,16.0,3.913,62.608,11.64717,5.208312,60.662095277039995,96.89192319997444
1.0,16.0,4.692,75.072,11.58948,6.249891,72.43298674668,96.48469035949489
1.0,16.0,5.471,87.536,11.53212,7.291459,84.08598016308001,96.05874173263572
1.0,16.0,6.251,100.016,11.47445,8.33299,95.6164771055,95.60118091655335
2.0,18.0,2.788,50.184,11.68746,4.166761,48.698852517060004,97.04059564215687
2.0,18.0,3.48,62.64,11.62992,5.208356,60.57276361152,96.69981419463602
2.0,18.0,4.171,75.078,11.57325,6.249867,72.33127325775,96.34150251438504
2.0,18.0,4.863,87.534,11.5162,7.291451,83.9698080062,95.92821989878217
2.0,18.0,5.555,99.99,11.45911,8.332992,95.48867195712002,95.49822177929795
3.0,20.0,2.516,50.32,11.69492,4.166795,48.730334181399996,96.84088668799681
3.0,20.0,3.139,62.779999999999994,11.63774,5.208339,60.61329511386,96.5487338545078
3.0,20.0,3.763,75.25999999999999,11.58041,6.249902,72.37642761981999,96.16851929287803
3.0,20.0,4.386,87.72,11.52437,7.29143,84.0291371491,95.79245001037391
3.0,20.0,5.009,100.18,11.46719,8.332988,95.55595666372001,95.38426498674386
4.0,22.0,2.291,50.402,11.67997,4.166787,48.66794715639001,96.55955548666721
4.0,22.0,2.856,62.831999999999994,11.62297,5.208324,60.53619360228001,96.34611917857146
4.0,22.0,3.422,75.284,11.56646,6.249921,72.28946124966,96.02234372464267
4.0,22.0,3.988,87.736,11.50944,7.291437,83.92035666528,95.65099464903801
4.0,22.0,4.554,100.188,11.45268,8.333007,95.43526260876001,95.25618098850163
5.0,24.0,2.106,50.544,11.6844,4.166754,48.6860204376,96.32403537037038
5.0,24.0,2.625,63.0,11.62707,5.20832,60.55750122239999,96.12301781333332
5.0,24.0,3.144,75.456,11.57083,6.249922,72.31678497526,95.83967474456637
5.0,24.0,3.663,87.91199999999999,11.51454,7.291445,83.9576351103,95.5019054398717
5.0,24.0,4.182,100.36800000000001,11.45805,8.33298,95.47970148899999,95.1296244709469
