Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.138,50.208,11.6884,4.166762,48.702780960800006,97.00203346239644
1.0,16.0,3.917,62.672,11.63008,5.208373,60.57379465984,96.65208491804952
1.0,16.0,4.696,75.136,11.57074,6.249922,72.31622248228,96.24710189826449
1.0,16.0,5.476,87.616,11.51138,7.291449,83.93464018962001,95.79830189648011
1.0,16.0,6.255,100.08,11.45205,8.332993,95.42985248565,95.35356962994605
2.0,18.0,2.796,50.327999999999996,11.68844,4.166745,48.702748927799995,96.77068218049595
2.0,18.0,3.489,62.802,11.62968,5.208362,60.57158338416001,96.44849429024555
2.0,18.0,4.182,75.27600000000001,11.57069,6.249907,72.31573642583001,96.06745367159519
2.0,18.0,4.875,87.75,11.51197,7.29144,83.93883853679999,95.65679605333332
2.0,18.0,5.568,100.22399999999999,11.45352,8.333001,95.44219361351999,95.22888092025862
3.0,20.0,2.525,50.5,11.69499,4.166793,48.73060246707001,96.49624250904952
3.0,20.0,3.149,62.980000000000004,11.63564,5.208373,60.60275321372,96.22539411514765
3.0,20.0,3.773,75.46000000000001,11.57687,6.249899,72.35426823613,95.88426747433076
3.0,20.0,4.397,87.94,11.51812,7.291442,83.98370392904,95.50114160682284
3.0,20.0,5.021,100.42,11.45942,8.332974,95.49104891508,95.09166392658834
4.0,22.0,2.298,50.556,11.67212,4.166746,48.634759321519994,96.19977712144947
4.0,22.0,2.865,63.03,11.61366,5.208346,60.48795960635999,95.96693575497382
4.0,22.0,3.431,75.482,11.55473,6.249873,72.21559504929,95.67260412984552
4.0,22.0,3.998,87.956,11.4966,7.291431,83.8266656346,95.30522719837191
4.0,22.0,4.564,100.408,11.43901,8.332983,95.32107586683,94.93374618240578
5.0,24.0,2.116,50.784000000000006,11.68803,4.166767,48.70129769901,95.89890063604678
5.0,24.0,2.636,63.264,11.62936,5.20834,60.5696608624,95.74111795397066
5.0,24.0,3.156,75.744,11.57045,6.249898,72.3141323141,95.47176319457647
5.0,24.0,3.677,88.248,11.51148,7.291421,83.93504701308,95.11269038740821
5.0,24.0,4.197,100.72800000000001,11.4537,8.333001,95.44369355369999,94.75388526894208
