Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.127,50.032,11.63662,4.166776,48.487188937119996,96.91235396770067
1.0,16.0,3.904,62.464,11.57841,5.208379,60.30474749739,96.54320488183593
1.0,16.0,4.681,74.896,11.51914,6.249902,71.99349612428,96.12462097345652
1.0,16.0,5.457,87.312,11.45955,7.291451,83.55674730705,95.69904172055388
1.0,16.0,6.234,99.744,11.40149,8.333022,95.00886700278001,95.25271395049327
2.0,18.0,2.785,50.13,11.62882,4.166794,48.454897403080004,96.65848275100738
2.0,18.0,3.475,62.550000000000004,11.57026,5.208369,60.26218350594,96.34241967376498
2.0,18.0,4.165,74.97,11.5112,6.249922,71.9441021264,95.96385504388422
2.0,18.0,4.856,87.408,11.45304,7.291425,83.508982182,95.5392895181219
2.0,18.0,5.546,99.828,11.3937,8.333002,94.94372488740001,95.10730945967065
3.0,20.0,2.515,50.300000000000004,11.63976,4.16678,48.500319172800005,96.42210571133201
3.0,20.0,3.138,62.76,11.5813,5.208378,60.3197881314,96.11183577342257
3.0,20.0,3.76,75.19999999999999,11.5224,6.249889,72.01372101359999,95.76292687978723
3.0,20.0,4.382,87.63999999999999,11.46358,7.291455,83.5861777089,95.3744611009813
3.0,20.0,5.004,100.07999999999998,11.40582,8.332999,95.04468665418,94.96871168483216
4.0,22.0,2.286,50.292,11.59981,4.166811,48.33421590591,96.10716596259842
4.0,22.0,2.85,62.7,11.54053,5.208315,60.10671550695,95.86398007488039
4.0,22.0,3.414,75.108,11.48247,6.249932,71.76465669203999,95.54861891148744
4.0,22.0,3.978,87.516,11.42508,7.291429,83.30515963932,95.18849083518441
4.0,22.0,4.541,99.90200000000002,11.36569,8.332963,94.70987423947,94.8027809648155
5.0,24.0,2.103,50.47200000000001,11.60425,4.166777,48.35232200225,95.80028927375572
5.0,24.0,2.621,62.903999999999996,11.545,5.208332,60.13019294000001,95.59041227902839
5.0,24.0,3.138,75.312,11.48641,6.249883,71.78871859002999,95.32175296105532
5.0,24.0,3.656,87.744,11.42875,7.291431,83.33194204125,94.97166990477982
5.0,24.0,4.172,100.12799999999999,11.36957,8.332989,94.74250174472999,94.62138637017617
