Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.14,50.24,11.72113,4.166808,48.83969825304,97.21277518519108
1.0,16.0,3.92,62.72,11.66288,5.208348,60.74433772224,96.85002825612244
1.0,16.0,4.7,75.2,11.60551,6.249897,72.53324213247001,96.45377943147608
1.0,16.0,5.48,87.68,11.54577,7.291491,84.18587804306999,96.01491565131157
1.0,16.0,6.261,100.176,11.48781,8.332996,95.72787477876,95.55968972484426
2.0,18.0,2.796,50.327999999999996,11.7124,4.166794,48.80315804560001,96.97019163408045
2.0,18.0,3.489,62.802,11.6541,5.208339,60.698503539899995,96.65059001289768
2.0,18.0,4.183,75.294,11.59694,6.249863,72.47928621922,96.2617024188116
2.0,18.0,4.876,87.768,11.53736,7.291439,84.12395666104,95.84809573083584
2.0,18.0,5.57,100.26,11.47882,8.333009,95.65311036938002,95.40505722060644
3.0,20.0,2.526,50.519999999999996,11.72489,4.166786,48.855107503540005,96.704488328464
3.0,20.0,3.15,63.0,11.66629,5.20834,60.762004858599994,96.44762675968252
3.0,20.0,3.775,75.5,11.60861,6.249962,72.55337137282001,96.09718062625167
3.0,20.0,4.4,88.0,11.54905,7.29147,84.2095516035,95.69267227670454
3.0,20.0,5.025,100.5,11.49073,8.332991,95.75214967343,95.27577081933333
4.0,22.0,2.299,50.577999999999996,11.70666,4.16681,48.779427954599996,96.44396368895568
4.0,22.0,2.866,63.052,11.64814,5.208353,60.66762491342,96.21839896184102
4.0,22.0,3.434,75.548,11.58989,6.24994,72.4361171066,95.8809195565733
4.0,22.0,4.001,88.022,11.53032,7.29145,84.072751764,95.51333957874168
4.0,22.0,4.568,100.496,11.47256,8.332976,95.60056713856,95.12872864448336
5.0,24.0,2.116,50.784000000000006,11.72084,4.166777,48.83812653268,96.16833359459672
5.0,24.0,2.637,63.288,11.6628,5.208355,60.744002694,95.98028487865
5.0,24.0,3.158,75.792,11.60476,6.249935,72.5289956906,95.69479059874394
5.0,24.0,3.678,88.27199999999999,11.5448,7.291444,84.1782626912,95.36236030813849
5.0,24.0,4.199,100.776,11.48659,8.333015,95.71792676884999,94.9808751774728
