Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.135,50.16,11.66461,4.166817,48.60429524637,96.89851524395934
1.0,16.0,3.913,62.608,11.60284,5.208328,60.43139645152,96.52344181497573
1.0,16.0,4.692,75.072,11.54059,6.24993,72.1278796587,96.07827107137147
1.0,16.0,5.471,87.536,11.47759,7.2915,83.688847485,95.60506247144032
1.0,16.0,6.249,99.984,11.41494,8.333056,95.12133425663998,95.13655610561689
2.0,18.0,2.793,50.274,11.66393,4.166809,48.60136849937,96.67296912791899
2.0,18.0,3.486,62.748000000000005,11.60152,5.208372,60.42503192544,96.29794085140561
2.0,18.0,4.178,75.204,11.53973,6.249934,72.12255087782,95.90254624464126
2.0,18.0,4.87,87.66,11.47776,7.291467,83.68970827392,95.47080569691992
2.0,18.0,5.562,100.116,11.41466,8.33312,95.11973153919999,95.00952049542529
3.0,20.0,2.522,50.44,11.66871,4.166788,48.62104080348001,96.39381602593183
3.0,20.0,3.146,62.92,11.60637,5.208344,60.449967551280004,96.07432859389702
3.0,20.0,3.769,75.38,11.54458,6.249904,72.15251672032,95.71838248914831
3.0,20.0,4.393,87.86,11.48321,7.29144,83.7291367224,95.29835729842931
3.0,20.0,5.016,100.32,11.42036,8.333103,95.16703617707999,94.86347306327751
4.0,22.0,2.295,50.489999999999995,11.6453,4.1668,48.52363604000001,96.10543877995646
4.0,22.0,2.861,62.94200000000001,11.58337,5.208335,60.33007138895,95.85026117528835
4.0,22.0,3.427,75.394,11.52235,6.249907,72.01361592145,95.51637520419396
4.0,22.0,3.993,87.846,11.46024,7.291497,83.56230557928001,95.1236317866266
4.0,22.0,4.559,100.298,11.39832,8.333075,94.983055434,94.70084691020757
5.0,24.01,2.113,50.73313,11.66002,4.166826,48.58527449652,95.76636508829634
5.0,24.01,2.633,63.21833,11.59775,5.208342,60.405048430499996,95.54989578259975
5.0,24.01,3.153,75.70353,11.53617,6.249884,72.09972430428,95.23958037925048
5.0,24.01,3.672,88.16472,11.47449,7.291509,83.66634710541,94.89776307961961
5.0,24.01,4.192,100.64992000000001,11.41215,8.333076,95.09831327340001,94.48424129239248
