Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.13,50.08,11.63746,4.166797,48.49093341562,96.82694372128594
1.0,16.0,3.907,62.512,11.57455,5.20835,60.284307492500005,96.43637620376889
1.0,16.0,4.685,74.96,11.51227,6.249929,71.95087012882999,95.98568587090448
1.0,16.0,5.462,87.392,11.44921,7.291451,83.48135370371001,95.52516672431118
1.0,16.0,6.239,99.824,11.38546,8.333074,94.87588070404,95.04315665976118
2.0,18.0,2.788,50.184,11.63409,4.166799,48.47691457791,96.59834723798423
2.0,18.0,3.479,62.622,11.57115,5.208336,60.2664371064,96.23844193158953
2.0,18.0,4.171,75.078,11.50923,6.249884,71.93135242932,95.80882872388715
2.0,18.0,4.861,87.49799999999999,11.44661,7.291461,83.46251039721,95.38790646324487
2.0,18.0,5.552,99.93599999999999,11.38349,8.333093,94.85968083457,94.92042990971223
3.0,20.0,2.517,50.339999999999996,11.63571,4.166781,48.48345534951,96.31198917264602
3.0,20.0,3.139,62.779999999999994,11.57305,5.208338,60.27635609090001,96.01203582494428
3.0,20.0,3.762,75.24,11.51089,6.249866,71.94152004074,95.61605534388625
3.0,20.0,4.384,87.68,11.44895,7.291467,83.47964110965,95.2094446962249
3.0,20.0,5.006,100.12,11.3863,8.333078,94.8829260314,94.76920298781462
4.0,22.0,2.29,50.38,11.60993,4.166805,48.376314373650004,96.02285504892815
4.0,22.0,2.855,62.81,11.54753,5.208352,60.143600970559994,95.7548176573157
4.0,22.0,3.42,75.24,11.48579,6.249897,71.78500446363,95.40803357739236
4.0,22.0,3.984,87.648,11.4237,7.29147,83.295565839,95.03418884515335
4.0,22.0,4.549,100.078,11.36135,8.333077,94.67500437394999,94.60121542591777
5.0,24.01,2.108,50.613080000000004,11.6213,4.166827,48.42394661509999,95.67476750100961
5.0,24.01,2.626,63.05026,11.55879,5.208317,60.20184245643,95.48230642733273
5.0,24.01,3.145,75.51145000000001,11.49702,6.249891,71.85512182481999,95.15791555429008
5.0,24.01,3.663,87.94863,11.4353,7.291457,83.37999823210001,94.80534060860302
5.0,24.01,4.181,100.38581,11.37274,8.333082,94.76997498467999,94.40574816767428
