Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.128,50.048,11.57734,4.166755,48.2399393317,96.38734681046195
1.0,16.0,3.904,62.464,11.50251,5.20835,59.9090979585,95.90980077884862
1.0,16.0,4.681,74.896,11.42878,6.249891,71.42862926298,95.37041933211385
1.0,16.0,5.458,87.328,11.3536,7.291432,82.7840023552,94.79663149871747
1.0,16.0,6.234,99.744,11.27773,8.333008,93.97741431184,94.21861396358678
2.0,18.0,2.785,50.13,11.5719,4.16678,48.217561482,96.18504185517654
2.0,18.0,3.476,62.568,11.49789,5.208351,59.88504687939,95.71194041585156
2.0,18.0,4.166,74.988,11.42501,6.249897,71.40513572397,95.22208316526644
2.0,18.0,4.856,87.408,11.35065,7.291439,82.76257208535,94.6853515528899
2.0,18.0,5.546,99.828,11.27519,8.332991,93.95605679329,94.11793964948711
3.0,20.0,2.516,50.32,11.5848,4.166796,48.2714983008,95.9290506772655
3.0,20.0,3.138,62.76,11.51167,5.208355,59.956864002850004,95.53356278338114
3.0,20.0,3.76,75.19999999999999,11.43859,6.249938,71.49047830742,95.06712540880321
3.0,20.0,4.382,87.63999999999999,11.36434,7.291463,82.86266462942001,94.54890989208127
3.0,20.0,5.004,100.07999999999998,11.29001,8.333008,94.07974365008,94.00454001806557
4.0,22.0,2.286,50.292,11.54481,4.166767,48.10453332927,95.65046792585301
4.0,22.0,2.85,62.7,11.47195,5.208331,59.74971281545,95.29459779178629
4.0,22.0,3.414,75.108,11.39929,6.249934,71.24481014686,94.8564868547425
4.0,22.0,3.978,87.516,11.32575,7.291447,82.58110586024999,94.36115208676125
4.0,22.0,4.542,99.92399999999999,11.25187,8.333036,93.76223777732,93.83355127628998
5.0,24.0,2.104,50.496,11.55027,4.166775,48.12737627925,95.30928445668964
5.0,24.0,2.621,62.903999999999996,11.47712,5.208325,59.776571024,95.02825102378227
5.0,24.0,3.138,75.312,11.40449,6.249903,71.27695626446999,94.64223000912204
5.0,24.0,3.656,87.744,11.33141,7.29145,82.62240944450001,94.16303045735322
5.0,24.0,4.173,100.152,11.25798,8.333049,93.81329898102001,93.67091918386055
