Sweep,Vin,Iin,Pin,Vout,Iout,Pout,Eff
1.0,16.0,3.147,50.352,11.72748,4.166794,48.86599329912001,97.0487633045758
1.0,16.0,3.928,62.848,11.66741,5.208347,60.76791987127,96.69030020250446
1.0,16.0,4.709,75.344,11.60922,6.249907,72.55654534254,96.30036279271079
1.0,16.0,5.49,87.84,11.55029,7.291423,84.21805016267,95.87665091378642
1.0,16.0,6.271,100.336,11.49167,8.332978,95.75983329326,95.43915772330969
2.0,18.0,2.807,50.525999999999996,11.73211,4.166787,48.88520343057,96.75256982656455
2.0,18.0,3.501,63.018,11.6728,5.208354,60.7960745712,96.47414162810625
2.0,18.0,4.195,75.51,11.61376,6.249904,72.58488507903999,96.12618868896833
2.0,18.0,4.89,88.02,11.555,7.291452,84.25272786,95.71998166325835
2.0,18.0,5.584,100.512,11.49664,8.333026,95.80180003264,95.31379341037886
3.0,20.0,2.536,50.72,11.74197,4.166754,48.92590046538,96.46273751060727
3.0,20.0,3.161,63.22,11.68211,5.208334,60.844330704739995,96.24221876738373
3.0,20.0,3.787,75.74,11.62407,6.249928,72.64960056695999,95.91972612484815
3.0,20.0,4.413,88.26,11.56585,7.291419,84.33145844115,95.54889920819171
3.0,20.0,5.038,100.76,11.50666,8.333005,95.8850553133,95.16182543995633
4.0,22.0,2.31,50.82,11.72443,4.166759,48.85287422237,96.12922908770169
4.0,22.0,2.878,63.316,11.66518,5.20837,60.7565735566,95.95769403721019
4.0,22.0,3.446,75.812,11.60721,6.249917,72.54409910157,95.68946750061995
4.0,22.0,4.014,88.308,11.54901,7.291403,84.20848616103001,95.35770956315397
4.0,22.0,4.582,100.804,11.49061,8.333021,95.75149443281,94.98779258046308
5.0,24.0,2.129,51.096000000000004,11.74419,4.166805,48.93574961295,95.7721731895843
5.0,24.0,2.65,63.599999999999994,11.68455,5.208375,60.85751810625,95.68792155070756
5.0,24.0,3.172,76.128,11.62646,6.249913,72.66436349798,95.45024629305907
5.0,24.0,3.694,88.656,11.56832,7.291437,84.34967647584,95.14265980400648
5.0,24.0,4.215,101.16,11.50981,8.33299,95.9111316319,94.81132031623171
